5_o_Clock_Shadow Arched_Eyebrows Attractive Bags_Under_Eyes Bald Bangs Big_Lips Big_Nose Black_Hair Blond_Hair Blurry Brown_Hair Bushy_Eyebrows Chubby Double_Chin Eyeglasses Goatee Gray_Hair Heavy_Makeup High_Cheekbones Male Mouth_Slightly_Open Mustache Narrow_Eyes No_Beard Oval_Face Pale_Skin Pointy_Nose Receding_Hairline Rosy_Cheeks Sideburns Smiling Straight_Hair Wavy_Hair Wearing_Earrings Wearing_Hat Wearing_Lipstick Wearing_Necklace Wearing_Necktie Young
5_o_Clock_Shadow 0 94.39108 73.22086 13.57959 19.25908 75.72094 63.68608 10.46738 32.87195 110.93910 38.76771 60.69060 18.79746 9.70133 11.89296 26.93904 6.38524 20.47702 113.51196 51.36074 2.40620 43.68126 7.93037 41.10178 54.20052 50.55753 76.89548 68.06897 18.03184 105.10676 5.16940 44.48324 35.75447 85.16192 85.01208 65.91562 107.50711 92.47912 42.70967 53.19947
Arched_Eyebrows 94.39108 0 3.75003 55.78012 129.39795 10.59078 7.68675 60.36412 32.17147 13.48709 42.83204 10.72469 43.67327 96.45525 100.51450 96.90194 105.28317 108.49130 3.08451 12.48070 90.45726 18.27326 105.97863 22.49726 10.88945 13.49666 11.13093 5.41605 57.14902 6.33508 104.26857 16.88697 26.23215 4.18353 3.16280 124.23908 2.43650 4.14441 140.90927 11.65045
Attractive 73.22086 3.75003 0 38.35709 108.57459 7.49660 3.22759 42.18564 20.06585 16.55609 31.94594 3.77797 28.09367 75.50114 79.12786 76.38468 84.51000 86.93216 10.49496 5.03637 69.76748 8.97409 85.28240 12.87060 3.70213 4.80524 7.24954 1.17403 40.95112 12.26045 83.29424 7.32689 13.11228 3.50318 5.94890 109.39855 8.64458 7.20994 120.53385 4.19166
Bags_Under_Eyes 13.57959 55.78012 38.35709 0 33.16295 42.78083 31.48292 3.21649 15.49866 71.26262 20.21245 29.75828 5.83538 13.56136 15.98502 32.04095 20.50980 21.39174 75.19124 20.40530 10.27590 15.95771 21.13479 12.81777 23.17170 21.25464 42.52808 33.83306 6.68487 69.20728 19.15433 16.41617 12.10077 48.35892 50.69365 68.72688 69.89644 57.31559 52.41570 23.96398
Bald 19.25908 129.39795 108.57459 33.16295 0 109.77742 97.00981 29.19580 60.14412 143.45153 65.71842 94.39629 44.43828 14.12661 13.95972 39.34513 18.66994 15.49361 149.23703 82.24889 17.00991 73.74368 18.77806 69.85628 86.19807 81.68657 110.58005 100.89302 28.95731 139.44736 19.25662 74.80363 61.91543 120.05399 120.82849 91.25509 143.49641 128.91486 27.66750 87.23832
Bangs 75.72094 10.59078 7.49660 42.78083 109.77742 0 9.70472 45.94422 26.77967 17.58392 32.36509 10.83828 36.10887 78.03738 81.75671 77.46960 86.53960 86.05535 14.17109 11.85287 71.06005 15.81376 86.53623 18.06063 9.58047 12.86548 7.17742 8.48293 47.21603 16.86200 84.89611 14.10891 19.59829 7.65511 10.30009 112.39088 11.71274 8.98996 123.40866 11.01946
Big_Lips 63.68608 7.68675 3.22759 31.48292 97.00981 9.70472 0 32.19107 14.56584 22.20161 22.79015 5.47626 22.39583 63.07782 68.60810 64.03341 70.45539 78.61747 16.79096 4.43862 58.62822 5.32623 71.05723 8.62872 2.00124 3.92333 8.81781 2.57430 32.67255 19.14040 71.12199 6.14056 11.20137 6.76012 7.05486 91.24859 14.13262 9.47285 114.47896 1.72521
Big_Nose 10.46738 60.36412 42.18564 3.21649 29.19580 45.94422 32.19107 0 14.12156 77.12175 19.68338 33.61227 6.62204 8.09038 11.56319 21.67457 13.23575 20.53235 79.75824 23.95320 6.98109 18.00144 13.33527 16.70005 25.45941 23.65611 45.65865 36.78214 5.50630 73.57233 13.63509 19.04661 14.83284 51.80036 53.50576 60.00947 74.10695 59.73256 51.24354 25.69627
Black_Hair 32.87195 32.17147 20.06585 15.49866 60.14412 26.77967 14.56584 14.12156 0 57.42956 22.12148 16.21914 5.68024 34.75310 40.34912 43.81317 40.73370 51.56422 47.78091 13.05045 29.39232 10.71774 40.99804 10.92166 11.76490 10.92522 26.58497 18.09858 13.31504 46.86958 40.90048 11.58851 6.74687 29.75221 28.30836 79.98567 43.84137 36.74120 78.92109 10.90736
Blond_Hair 110.93910 13.48709 16.55609 71.26262 143.45153 17.58392 22.20161 77.12175 57.42956 0 51.35188 20.54764 66.39002 112.94215 115.62122 108.15483 121.70499 115.96872 13.00075 24.46515 106.70936 30.34142 123.14535 35.79559 23.44095 27.19393 20.86197 17.60643 74.60080 14.81799 120.32229 29.00387 41.94422 11.01110 16.16780 139.85271 11.69640 10.46963 157.51992 25.58883
